"HOUSEHOLD","ACORN","ACORN_GROUPED","TARIFF","X0","X3","X10","X13","X20","X23","X30","X33","X40","X43","X50","X53","X60","X63","X70","X73","X80","X83","X90","X93","X100","X103","X110","X113","X120","X123","X130","X133","X140","X143","X150","X153","X160","X163","X170","X173","X180","X183","X190","X193","X200","X203","X210","X213","X220","X223","X230","X233"
"MAC000044","ACORN-F","Comfortable","ToU",0.124156498938992,0.106147944931507,0.0971945205479452,0.0926027397260274,0.0957041093150685,0.176361643835616,0.231383561369863,0.298928766849315,0.298273972328767,0.27119452,0.291893150958904,0.297109589041096,0.292358904109589,0.288156163835616,0.299093150958904,0.303745205753425,0.268372602739726,0.267852054520548,0.274427397260274,0.288380821917808,0.274441096164384,0.284769863013699,0.287769863287671,0.295608219452055,0.330191780821918,0.342643835616438,0.377213699178082,0.362912328219178,0.346315068493151,0.314345205479452,0.29107397260274,0.292586301369863,0.301030136986301,0.326200000547945,0.330257533972603,0.381241095890411,0.428504109589041,0.460582418681319,0.47546301369863,0.45432876739726,0.428682191780822,0.404446575616438,0.376564383561644,0.3222,0.269567123287671,0.223230137260274,0.182786301369863,0.144684930958904
"MAC000051","ACORN-F","Comfortable","ToU",0.3446702125,0.312255494230769,0.251543956043956,0.207730768956044,0.177043956043956,0.15763461510989,0.143118131868132,0.131604395604396,0.122527472527473,0.118013736263736,0.117708791208791,0.116884615384615,0.127005509641873,0.134826923076923,0.165796703296703,0.19939011043956,0.226228649862259,0.30607966978022,0.301274725549451,0.358222528296703,0.362469779945055,0.396458790659341,0.391024724450549,0.400129121153846,0.435500000824176,0.399132230853995,0.435733517582418,0.390702479338843,0.401151516528926,0.384170798071625,0.345110193939394,0.331887362087912,0.341846153846154,0.371997246280992,0.374412087637363,0.345098901098901,0.372123626373626,0.376568681318681,0.367173077472527,0.367211538736264,0.366296703296703,0.384700549725275,0.383967032692308,0.383719007988981,0.398258953719008,0.396958791208791,0.388390110164835,0.381494505494506
"MAC000071","ACORN-J","Comfortable","ToU",0.185172131147541,0.156627118644068,0.139516949152542,0.135398305084746,0.130194915254237,0.131872881355932,0.130025423728814,0.124898305084746,0.125449152542373,0.125779661016949,0.125237288135593,0.178042372881356,0.225076272033898,0.293084748305085,0.473296610169491,0.458271186440678,0.478915250847458,0.485847455084746,0.418211866949153,0.356440679661017,0.320872880508475,0.30332203559322,0.322610168644068,0.329203388983051,0.347923729661017,0.315593221186441,0.335118644067797,0.394593220338983,0.390652539830508,0.341830505932203,0.324093222881356,0.30166101779661,0.357627118644068,0.470661016101695,0.591101695762712,0.749076275423729,0.842949155932203,0.855889833898305,0.865025422033898,0.752093224576271,0.70577118559322,0.684771187288136,0.672161016949153,0.58632203220339,0.473559322033898,0.343330508474576,0.247533898305085,0.204059322033898
"MAC000124","ACORN-H","Comfortable","ToU",0.211690666666667,0.189253443526171,0.172275482093664,0.157600550964187,0.144157024793388,0.138798898071625,0.132347107438017,0.129889807162534,0.12832782369146,0.126771349862259,0.126765840220386,0.134939393939394,0.147636363636364,0.177876033057851,0.184988980716253,0.207837465564738,0.19496694214876,0.209922865013774,0.21636914600551,0.221889807162534,0.234531680440771,0.247148760330579,0.264484848484848,0.260198347107438,0.249181818181818,0.256055096418733,0.249165289256198,0.246388429752066,0.252363636363636,0.246691460055096,0.239484848484848,0.228512396694215,0.230845730027548,0.239699724517906,0.263272727272727,0.272512396694215,0.296570247658402,0.313027548209366,0.317123966942149,0.316848485123967,0.32665564738292,0.330614325068871,0.332402203856749,0.320721763085399,0.297267217630854,0.275454545454545,0.25366391184573,0.233909090909091
"MAC000147","ACORN-F","Comfortable","ToU",0.0683103448275862,0.0661452054794521,0.0654109589041096,0.064813698630137,0.0632986301369863,0.0640931506849315,0.0626082191780822,0.063345205479452,0.0621671232876712,0.0617068493150685,0.0646520547945205,0.082186301369863,0.115547945205479,0.130978082191781,0.157482191780822,0.165994520547945,0.163093150684932,0.150679452054795,0.13173698630137,0.11378904109589,0.108616438356164,0.0989808219178082,0.10212602739726,0.120002739726027,0.123353424657534,0.152005479452055,0.148717808219178,0.163224657534247,0.170835616438356,0.16086301369863,0.176753424657534,0.204594520547945,0.209112328767123,0.210671232876712,0.211232876986301,0.198684931506849,0.185756164383562,0.181679451780822,0.17467397260274,0.161452054520548,0.157953424657534,0.15712602739726,0.155884931506849,0.154701369863014,0.135890410958904,0.108731506849315,0.0882821917808219,0.0732
"MAC000158","ACORN-H","Comfortable","ToU",0.0814615384615385,0.0577561643835616,0.0421506849315069,0.0302383561643836,0.0315534246575342,0.0346767123287671,0.0304027397260274,0.0302739726027397,0.031786301369863,0.0303424657534247,0.0297972602739726,0.0333041095890411,0.032728021978022,0.0324547945205479,0.0342767123287671,0.0551287671232877,0.0851315068493151,0.0734054794520548,0.0972712328767123,0.0761452054794521,0.071558904109589,0.069027397260274,0.0865287671232877,0.101296703296703,0.248906593406593,0.188349862258953,0.208830136438356,0.166391780821918,0.11358904109589,0.100106849315068,0.0870712328767123,0.0692739726027397,0.0649178082191781,0.0638461538461538,0.0729643835616438,0.0828986304109589,0.101594520547945,0.0874794520547945,0.106619178082192,0.0989890410958904,0.100734246849315,0.109356164383562,0.121002739726027,0.132164835164835,0.130035714285714,0.126476712328767,0.110312328767123,0.11546301369863
"MAC000170","ACORN-F","Comfortable","ToU",0.274188328912467,0.259547945479452,0.254084931780822,0.248013698630137,0.245709589041096,0.237854794520548,0.228295890410959,0.217720547945205,0.202476712328767,0.194942466027397,0.183457534246575,0.17846301369863,0.175406593406593,0.186421917808219,0.202309589041096,0.220775342465753,0.320334245479452,0.334175343287671,0.306167123013699,0.28040821890411,0.291816438630137,0.279827397260274,0.273660273972603,0.266923287671233,0.26981095890411,0.272087912362637,0.275120547945205,0.281265753150685,0.262287671232877,0.276720548493151,0.27598904109589,0.274901369589041,0.290479452328767,0.282598901098901,0.273726027671233,0.25158904109589,0.279575342465753,0.276846575342466,0.285731506849315,0.30546301369863,0.30421095890411,0.330260274520548,0.311252055068493,0.308315933516484,0.286129120604396,0.285882191506849,0.292241095890411,0.280254794520548
"MAC000198","ACORN-F","Comfortable","ToU",0.588183023076923,0.572282191780822,0.515271231506849,0.41166301369863,0.347649314520548,0.285564384657534,0.249835616712329,0.223786300821918,0.235915068767123,0.236616438082192,0.308676712876712,0.322994520273973,0.368816437534247,0.362652053972603,0.370742466027397,0.390506849863014,0.30867123260274,0.228945204931507,0.202397260821918,0.186515068493151,0.220583562191781,0.246849314794521,0.267742464657534,0.271767123287671,0.287586301643836,0.328431319230769,0.327079451780822,0.339895889315069,0.32988493260274,0.347090410958904,0.324517807123288,0.314594519726027,0.308986302191781,0.319964383835616,0.301030137534247,0.294298630958904,0.289424657808219,0.295643835342466,0.33626575369863,0.381219178356164,0.383709588767123,0.426238355068493,0.466638358356164,0.490802739726027,0.51693972630137,0.521224657808219,0.554117807945205,0.573586301643836
"MAC000247","ACORN-F","Comfortable","ToU",0.137822281167109,0.11738904109589,0.105999999726027,0.0966520547945205,0.0884931506849315,0.0866082191780822,0.0840328767123288,0.0783506849315068,0.0757205479452055,0.0756301369863014,0.0753397260273973,0.0753041095890411,0.0811315068493151,0.122517808219178,0.166857534246575,0.214956164383562,0.252430137260274,0.268715068493151,0.271347945205479,0.287558904109589,0.296295890410959,0.302517808493151,0.295808219452055,0.295826923351648,0.308255494505494,0.315217032967033,0.30442032967033,0.304999999450549,0.29849450521978,0.296978021428571,0.316317807945205,0.334969863835616,0.347498630410959,0.357126027671233,0.34878356109589,0.335671232328767,0.339452055068493,0.360405479452055,0.361112329041096,0.36626575369863,0.362101369863014,0.337808219178082,0.306117807945205,0.280958904109589,0.256106849315068,0.236846575342466,0.194708791208791,0.161901098901099
"MAC000259","ACORN-H","Comfortable","ToU",0.151387700534759,0.141596685082873,0.121364640883978,0.106301104972376,0.0964171270718232,0.0860138121546961,0.0781850828729282,0.0734558011049724,0.0695801104972376,0.0689640883977901,0.0798204419889503,0.110538674033149,0.147533149171271,0.183861878453039,0.239939226519337,0.297610497237569,0.304265193646409,0.316530387016575,0.296837016574586,0.296472375414365,0.267229281767956,0.269975138121547,0.276975137845304,0.269635358563536,0.25825414281768,0.243800554293629,0.269519337292818,0.255947513535912,0.239767954972376,0.236436463812155,0.226881215469613,0.246488950276243,0.262248618508287,0.29962154640884,0.331964088121547,0.374919889779006,0.360591161325967,0.334596685359116,0.318674033425414,0.309737568508287,0.294502762707182,0.296754143646409,0.304635358839779,0.296113259668508,0.274958563535912,0.227643646132597,0.199906077348066,0.167375690607735
